Title,Start Date,Audience Score,Critics Score,Audience Sentiment,Critics Sentiment
Road House,"Streaming Mar 21, 2024",55,59,negative,negative
Poor Things,"Streaming Feb 27, 2024",79,92,positive,positive
Anatomy of a Fall,"Streaming Dec 22, 2023",90,96,positive,positive
Damsel,"Streaming Mar 8, 2024",62,57,positive,negative
Dream Scenario,"Streaming Dec 22, 2023",68,91,positive,positive
You'll Never Find Me,"Streaming Mar 22, 2024",73,80,positive,positive
Madame Web,"Streaming Mar 15, 2024",57,12,negative,negative
The Zone of Interest,"Streaming Feb 20, 2024",78,93,positive,positive
Ghostbusters: Afterlife,"Streaming Jan 10, 2022",94,64,positive,positive
The Gentlemen,"Streaming Mar 24, 2020",84,75,positive,positive
Imaginary,"Streaming Mar 26, 2024",55,24,negative,negative
Bob Marley: One Love,"Streaming Mar 19, 2024",92,43,positive,negative
Ricky Stanicky,"Streaming Mar 7, 2024",73,47,positive,negative
Wonka,"Streaming Jan 30, 2024",91,82,positive,positive
On the Line,"Streaming Nov 4, 2022",31,20,negative,negative
Dune,"Streaming Oct 22, 2021",90,83,positive,positive
Spaceman,"Streaming Mar 1, 2024",65,51,positive,negative
Godzilla vs. Kong,"Streaming Mar 31, 2021",91,76,positive,positive
Irish Wish,"Streaming Mar 15, 2024",42,39,negative,negative
The Beekeeper,"Streaming Jan 30, 2024",92,71,positive,positive
Anyone But You,"Streaming Feb 20, 2024",87,55,positive,negative
Land of Bad,"Streaming Mar 19, 2024",94,63,positive,positive
Inside the Yellow Cocoon Shell,"Streaming Mar 19, 2024",72,98,positive,positive
American Fiction,"Streaming Feb 6, 2024",96,93,positive,positive
Ordinary Angels,"Streaming Mar 26, 2024",99,85,positive,positive
All of Us Strangers,"Streaming Feb 22, 2024",91,96,positive,positive
Argylle,"Streaming Mar 5, 2024",72,32,positive,negative
Oppenheimer,"Streaming Nov 21, 2023",91,93,positive,positive
Shirley,"Streaming Mar 22, 2024",73,71,positive,positive
Megamind vs. the Doom Syndicate,"Streaming Mar 1, 2024",7,9,negative,negative
The Iron Claw,"Streaming Feb 13, 2024",94,89,positive,positive
Perfect Days,"Streaming Mar 5, 2024",90,96,positive,positive
Alone,"Streaming Sep 18, 2020",53,91,negative,positive
The Holdovers,"Streaming Nov 28, 2023",92,97,positive,positive
Stopmotion,"Streaming Mar 15, 2024",52,89,negative,positive
Luca,"Streaming Jun 18, 2021",85,91,positive,positive
Leave the World Behind,"Streaming Dec 8, 2023",35,74,negative,positive
The Truth vs. Alex Jones,"Streaming Mar 26, 2024",81,100,positive,positive
The Beautiful Game,"Streaming Mar 29, 2024",,89,,positive
Ghostbusters,"Streaming Oct 11, 2016",49,74,negative,positive
Killers of the Flower Moon,"Streaming Dec 5, 2023",84,93,positive,positive
Asleep in My Palm,"Streaming Mar 19, 2024",75,91,positive,positive
Lousy Carter,"Streaming Mar 29, 2024",,80,,positive
Napoleon,"Streaming Jan 9, 2024",59,58,negative,negative
The Wonderful Story of Henry Sugar,"Streaming Sep 27, 2023",81,95,positive,positive
Ghostbusters,"Streaming Apr 16, 2012",88,95,positive,positive
Past Lives,"Streaming Aug 22, 2023",84,95,positive,positive
Red Eye,"Streaming Mar 18, 2017",64,80,positive,positive
Stormy,"Streaming Mar 18, 2024",64,67,positive,positive
Paint,"Streaming May 9, 2023",57,32,negative,negative
Rebel Moon: Part One - A Child of Fire,"Streaming Dec 21, 2023",58,21,negative,negative
Godzilla: King of the Monsters,"Streaming Aug 13, 2019",83,42,positive,negative
The Animal Kingdom,"Streaming Mar 15, 2024",91,81,positive,positive
Aquaman and the Lost Kingdom,"Streaming Jan 23, 2024",81,34,positive,negative
Five Nights at Freddy's,"Streaming Oct 27, 2023",87,32,positive,negative
Double Blind,"Streaming Feb 13, 2024",75,100,positive,positive
This Is Me... Now: A Love Story,"Streaming Feb 16, 2024",77,75,positive,positive
Talk to Me,"Streaming Sep 12, 2023",82,95,positive,positive
Mean Girls,"Streaming Feb 20, 2024",62,70,positive,positive
Migration,"Streaming Jan 23, 2024",88,73,positive,positive
The Creator,"Streaming Nov 14, 2023",76,67,positive,positive
Your Lucky Day,"Streaming Nov 14, 2023",63,86,positive,positive
Saltburn,"Streaming Dec 22, 2023",79,71,positive,positive
Ferrari,"Streaming Jan 23, 2024",74,72,positive,positive
Out of Darkness,"Streaming Feb 27, 2024",54,86,negative,positive
The Hunger Games: The Ballad of Songbirds & Snakes,"Streaming Dec 19, 2023",89,64,positive,positive
When Evil Lurks,"Streaming Oct 27, 2023",79,97,positive,positive
Sinister,"Streaming Nov 21, 2015",62,63,positive,positive
The Marvels,"Streaming Jan 16, 2024",82,62,positive,positive
There's Something in the Barn,"Streaming Dec 5, 2023",51,80,negative,positive
Drive-Away Dolls,"Streaming Mar 12, 2024",36,63,negative,positive
Kung Fu Panda 3,"Streaming Jun 28, 2016",79,86,positive,positive
May December,"Streaming Dec 1, 2023",65,90,positive,positive
Mad Props,"Streaming Mar 26, 2024",100,100,positive,positive
Top Gun: Maverick,"Streaming Aug 22, 2022",99,96,positive,positive
Wish,"Streaming Jan 23, 2024",81,48,positive,negative
Barbie,"Streaming Sep 12, 2023",83,88,positive,positive
Monster,"Streaming Feb 27, 2024",92,97,positive,positive
Interstellar,"Streaming May 24, 2016",86,73,positive,positive
X,"Streaming Apr 14, 2022",75,94,positive,positive
Everything Everywhere All at Once,"Streaming Jun 7, 2022",86,94,positive,positive
Marlowe,"Streaming Apr 4, 2023",37,26,negative,negative
Prey,"Streaming Mar 15, 2024",85,,positive,
Society of the Snow,"Streaming Jan 4, 2024",87,90,positive,positive
Priscilla,"Streaming Dec 15, 2023",63,84,positive,positive
Kung Fu Panda,"Streaming Nov 25, 2015",83,87,positive,positive
His House,"Streaming Oct 30, 2020",73,100,positive,positive
Thanksgiving,"Streaming Dec 19, 2023",80,84,positive,positive
French Girl,"Streaming Mar 19, 2024",76,26,positive,negative
Godzilla,"Streaming Aug 26, 2014",66,76,positive,positive
The Batman,"Streaming Apr 19, 2022",87,85,positive,positive
Guy Ritchie's The Covenant,"Streaming May 9, 2023",98,83,positive,positive
The Autopsy of Jane Doe,"Streaming May 2, 2017",71,86,positive,positive
Ford v Ferrari,"Streaming Nov 15, 2019",98,92,positive,positive
No Hard Feelings,"Streaming Aug 15, 2023",87,70,positive,positive
Gran Turismo: Based on a True Story,"Streaming Sep 26, 2023",98,65,positive,positive
Tyson's Run,"Streaming May 17, 2022",86,67,positive,positive
The Menu,"Streaming Jan 3, 2023",76,88,positive,positive
On the Line,"Streaming Jan 22, 2024",,83,,positive
Reality,"Streaming May 29, 2023",67,94,positive,positive
The Killer,"Streaming Nov 10, 2023",61,85,positive,positive
The Green Knight,"Streaming Aug 19, 2021",50,89,negative,positive
Upgraded,"Streaming Feb 9, 2024",67,77,positive,positive
Beetlejuice,"Streaming Aug 15, 2008",82,86,positive,positive
BlackBerry,"Streaming Jun 2, 2023",93,98,positive,positive
Toy Story,"Streaming Jan 1, 2014",92,100,positive,positive
The Promised Land,"Streaming Feb 23, 2024",94,96,positive,positive
Ouija: Origin of Evil,"Streaming Jan 11, 2017",57,83,negative,positive
Mambar Pierrette,"Streaming Mar 26, 2024",,100,,positive
Life,"Streaming Jun 2, 2017",54,68,negative,positive
The Super Mario Bros. Movie,"Streaming May 16, 2023",95,59,positive,negative
Room 0,"Streaming Mar 19, 2024",56,,negative,
Mission: Impossible - Dead Reckoning Part One,"Streaming Oct 10, 2023",94,96,positive,positive
The Favourite,"Streaming Feb 12, 2019",70,93,positive,positive
Spider-Man: Across the Spider-Verse,"Streaming Aug 8, 2023",94,95,positive,positive
Kung Fu Panda 2,"Streaming Nov 25, 2015",74,81,positive,positive
Asteroid City,"Streaming Jul 11, 2023",62,75,positive,positive
Next Goal Wins,"Streaming Jan 16, 2024",84,45,positive,negative
Puss in Boots: The Last Wish,"Streaming Jan 6, 2023",94,95,positive,positive
The Accountant,"Streaming Dec 27, 2016",76,53,positive,negative
Lift,"Streaming Jan 12, 2024",32,29,negative,negative
Dune,"Streaming Oct 1, 2014",65,37,positive,negative
Freelance,"Streaming Nov 28, 2023",76,6,positive,negative
The Gift,"Streaming Sep 6, 2016",75,91,positive,positive
Lisa Frankenstein,"Streaming Feb 27, 2024",81,51,positive,negative
"You, Me & Her","Streaming Mar 31, 2024",,100,,positive
Spermworld,"Streaming Mar 30, 2024",,,,
The Beautiful Game,"Streaming Mar 29, 2024",,89,,positive
Lousy Carter,"Streaming Mar 29, 2024",,80,,positive
The Listener,"Streaming Mar 29, 2024",,73,,positive
Light,"Streaming Mar 29, 2024",,,,
The Wages of Fear,"Streaming Mar 29, 2024",,,,
Heart of the Hunter,"Streaming Mar 29, 2024",,,,
Madu,"Streaming Mar 29, 2024",,,,
The Soviet Sleep Experiment,"Streaming Mar 29, 2024",,,,
Imaginary,"Streaming Mar 26, 2024",55,24,negative,negative
Ordinary Angels,"Streaming Mar 26, 2024",99,85,positive,positive
The Truth vs. Alex Jones,"Streaming Mar 26, 2024",81,100,positive,positive
Mad Props,"Streaming Mar 26, 2024",100,100,positive,positive
Mambar Pierrette,"Streaming Mar 26, 2024",,100,,positive
Easter Bloody Easter,"Streaming Mar 26, 2024",75,,positive,
Popular Theory,"Streaming Mar 26, 2024",94,57,positive,negative
Snow Valley,"Streaming Mar 26, 2024",50,,negative,
Earlybird,"Streaming Mar 26, 2024",,,,
The Heart Stays,"Streaming Mar 26, 2024",,,,
The Oath,"Streaming Mar 26, 2024",86,30,positive,negative
Polar Rescue,"Streaming Mar 26, 2024",,,,
Ramy Youssef: More Feelings,"Streaming Mar 23, 2024",,100,,positive
You'll Never Find Me,"Streaming Mar 22, 2024",73,80,positive,positive
Shirley,"Streaming Mar 22, 2024",73,71,positive,positive
Hotel,"Streaming Mar 22, 2024",32,,negative,
The Fox,"Streaming Mar 22, 2024",,,,
Dad & Step-Dad,"Streaming Mar 22, 2024",,100,,positive
Lovely Rita,"Streaming Mar 22, 2024",40,,negative,
Road House,"Streaming Mar 21, 2024",55,59,negative,negative
Freaknik: The Wildest Party Never Told,"Streaming Mar 21, 2024",12,80,negative,positive
Bob Marley: One Love,"Streaming Mar 19, 2024",92,43,positive,negative
Land of Bad,"Streaming Mar 19, 2024",94,63,positive,positive
Inside the Yellow Cocoon Shell,"Streaming Mar 19, 2024",72,98,positive,positive
Asleep in My Palm,"Streaming Mar 19, 2024",75,91,positive,positive
French Girl,"Streaming Mar 19, 2024",76,26,positive,negative
Room 0,"Streaming Mar 19, 2024",56,,negative,
Bardejov,"Streaming Mar 19, 2024",,,,
The Invisible Fight,"Streaming Mar 19, 2024",,58,,negative
Stormy,"Streaming Mar 18, 2024",64,67,positive,positive
Madame Web,"Streaming Mar 15, 2024",57,12,negative,negative
Irish Wish,"Streaming Mar 15, 2024",42,39,negative,negative
Stopmotion,"Streaming Mar 15, 2024",52,89,negative,positive
The Animal Kingdom,"Streaming Mar 15, 2024",91,81,positive,positive
Prey,"Streaming Mar 15, 2024",85,,positive,
The Bloody Hundredth,"Streaming Mar 15, 2024",92,,positive,
Escape,"Streaming Mar 15, 2024",,,,
Yuni,"Streaming Mar 15, 2024",,100,,positive
Frida,"Streaming Mar 14, 2024",80,90,positive,positive
Little Wing,"Streaming Mar 13, 2024",88,56,positive,negative
Drive-Away Dolls,"Streaming Mar 12, 2024",36,63,negative,positive
Jonah,"Streaming Mar 12, 2024",76,,positive,
The Lionheart,"Streaming Mar 12, 2024",95,,positive,
Inshallah a Boy,"Streaming Mar 12, 2024",53,100,negative,positive
Household Saints,"Streaming Mar 12, 2024",74,68,positive,positive
Sheeps Clothing,"Streaming Mar 12, 2024",,,,
Damsel,"Streaming Mar 8, 2024",62,57,positive,negative
Night Shift,"Streaming Mar 8, 2024",88,38,positive,negative
5lbs of Pressure,"Streaming Mar 8, 2024",75,56,positive,negative
American Dreamer,"Streaming Mar 8, 2024",70,48,positive,negative
The Piper,"Streaming Mar 8, 2024",,60,,positive
Space: The Longest Goodbye,"Streaming Mar 8, 2024",,79,,positive
The Princess Warrior,"Streaming Mar 8, 2024",,,,
Ricky Stanicky,"Streaming Mar 7, 2024",73,47,positive,negative
Bella,"Streaming Mar 6, 2024",89,,positive,
Argylle,"Streaming Mar 5, 2024",72,32,positive,negative
Perfect Days,"Streaming Mar 5, 2024",90,96,positive,positive
Hannah Gadsby's Gender Agenda,"Streaming Mar 5, 2024",42,,negative,
Before I Change My Mind,"Streaming Mar 5, 2024",33,100,negative,positive
The Troubles: A Dublin Story,"Streaming Mar 5, 2024",,,,
Spaceman,"Streaming Mar 1, 2024",65,51,positive,negative
Megamind vs. the Doom Syndicate,"Streaming Mar 1, 2024",7,9,negative,negative
Scrambled,"Streaming Mar 1, 2024",90,94,positive,positive
Amelia's Children,"Streaming Mar 1, 2024",65,42,positive,negative
Sex-Positive,"Streaming Mar 1, 2024",80,,positive,
The Reverend,"Streaming Mar 1, 2024",,100,,positive
Butchers Book Two: Raghorn,"Streaming Feb 29, 2024",,,,
Code 8: Part II,"Streaming Feb 28, 2024",58,69,negative,positive
Poor Things,"Streaming Feb 27, 2024",79,92,positive,positive
Out of Darkness,"Streaming Feb 27, 2024",54,86,negative,positive
Monster,"Streaming Feb 27, 2024",92,97,positive,positive
#chadgetstheaxe,"Streaming Sep 1, 2023",67,100,positive,positive
100 Days to Live,"Streaming Feb 2, 2021",88,100,positive,positive
11:55,"Streaming Jun 9, 2017",78,100,positive,positive
12 Angry Men,"Streaming Apr 4, 2012",97,100,positive,positive
2040,"Streaming Jun 5, 2020",48,100,negative,positive
32 Pills: My Sister's Suicide,"Streaming Nov 19, 2017",50,100,negative,positive
5B,"Streaming Aug 27, 2019",97,100,positive,positive
76 Days,"Streaming Mar 5, 2021",84,100,positive,positive
A Beautiful Planet,"Streaming Jun 11, 2020",78,100,positive,positive
A Crime on the Bayou,"Streaming Aug 3, 2021",83,100,positive,positive
A Disturbance in The Force,"Streaming Dec 5, 2023",80,100,positive,positive
A Gray State,"Streaming Dec 25, 2017",58,100,negative,positive
A Most Beautiful Thing,"Streaming Jul 31, 2020",96,100,positive,positive
A New Old Play,"Streaming May 16, 2023",67,100,positive,positive
A Peloton of One,"Streaming Mar 11, 2022",,100,,positive
A Place of Our Own,"Streaming Jan 16, 2024",64,100,positive,positive
A River Below,"Streaming Feb 23, 2018",83,100,positive,positive
A Secret Love,"Streaming Apr 29, 2020",89,100,positive,positive
A Tuba to Cuba,"Streaming Mar 15, 2019",83,100,positive,positive
A.rtificial I.mmortality,"Streaming Jan 11, 2022",,100,,positive
AVA: A Twist in the Road,"Streaming Jan 1, 2022",92,100,positive,positive
Abortion: Stories Women Tell,"Streaming Apr 23, 2017",62,100,positive,positive
About a Teacher,"Streaming Apr 17, 2020",,100,,positive
"Acasa, My Home","Streaming Mar 15, 2021",86,100,positive,positive
Act & Punishment,"Streaming Jan 23, 2018",,100,,positive
Afghan Cycles,"Streaming Mar 8, 2019",83,100,positive,positive
After Auschwitz,"Streaming Jan 22, 2019",85,100,positive,positive
After Parkland,"Streaming Feb 19, 2020",58,100,negative,positive
Aida's Secrets,"Streaming Jan 16, 2018",79,100,positive,positive
Alice Is Still Dead,"Streaming Nov 5, 2021",60,100,positive,positive
Alive and Kicking,"Streaming Apr 7, 2017",93,100,positive,positive
All In: The Fight for Democracy,"Streaming Sep 18, 2020",67,100,positive,positive
10 Minutes Gone,"Streaming Sep 27, 2019",16,0,negative,negative
9 Bullets,"Streaming Apr 22, 2022",41,0,negative,negative
96 Souls,"Streaming Jun 1, 2017",94,0,positive,negative
A Clear Shot,"Streaming May 28, 2020",,0,,negative
Acts of Violence,"Streaming Jan 12, 2018",31,0,negative,negative
Air Strike,"Streaming Oct 27, 2018",12,0,negative,negative
All Roads Lead to Rome,"Streaming Feb 5, 2016",16,0,negative,negative
Amateur Night,"Streaming Oct 6, 2016",25,0,negative,negative
American Dresser,"Streaming Sep 21, 2018",70,0,positive,negative
Arjun Patiala,"Streaming Oct 19, 2019",,0,,negative
Armed Response,"Streaming Jul 9, 2017",16,0,negative,negative
Baaghi 3,"Streaming Sep 3, 2020",67,0,positive,negative
Backgammon,"Streaming Oct 21, 2016",64,0,positive,negative
